id;verified_tier;name;domain;website;city;region;estimated_size;total;fibu_score;recruiting_score;digital_score;datev_score;size_score;growth_score;process_score;tools_score;decision_maker_score;trigger_score;summary;review_notes;contact_1_name;contact_1_role;linkedin_company;team_page_url;career_page_url
173;A;DATEV Unternehmen online – Digitale Buchhaltung;steuerberater-berlin.de;https://www.steuerberater-berlin.de/datev-unternehmen-online/;Berlin;berlin_brandenburg;11;15;2;2;2;2;1;1;2;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: karriere, jobs, wir suchen, bewerbung | Digital: digitalisierung, digitale buchhaltung, datev unternehmen online, duo;;;;https://www.steuerberater-berlin.de/steuerkanzlei/;https://www.steuerberater-berlin.de/steuerkanzlei/jobs/
56;A;Buchhaltung von Ratzke & Hill - Steuerberater München;steuerberater-muenchen.de;https://steuerberater-muenchen.de/leistungen/buchhalter-muenchen.html;München;muenchen_stuttgart;9;12;2;2;2;2;1;0;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, verstärkung, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale buchhaltung, datev unternehmen online, datev;;;;https://steuerberater-muenchen.de/kanzlei-ratzke-hill.html;https://steuerberater-muenchen.de/kanzlei-ratzke-hill/stellenangebote.html
413;A;Steuerberatung Dortmund · Steuerberater Dortmund · Wirtschaftsberatung Dortmund | Stendel, Conrad, Franke;scf.gmbh;https://scf.gmbh/;Dortmund;nrw;9;12;2;2;2;2;1;0;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, karriere, offene stellen, bewerbung | Digital: digitalisierung, datev unternehmen online, datev, digital;;;;https://scf.gmbh/Kanzlei/index.html;https://scf.gmbh/Karriere/index.html
233;A;Startseite » Notroff & Partner - Steuerberater Mathias & André Notroff;steuerbuero-notroff.de;https://www.steuerbuero-notroff.de/;Potsdam;berlin_brandenburg;8;14;2;2;2;2;1;0;2;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen, jahresabschluss | Recruiting: karriere, offene stellen, bewerbung, initiativbewerbung | Digital: digitalisierung, scan, digital;;;;https://www.steuerbuero-notroff.de/de/kanzlei/%C3%BCber_uns/;https://www.steuerbuero-notroff.de/de/kanzlei/karriere/
284;A;Digitale Buchhaltung - Steuerberater Köln: Karl-Rudolf Sauer;steuerberater-sauer.info;https://www.steuerberater-sauer.info/digitale-buchhaltung/;Köln;nrw;8;15;2;2;2;2;1;1;2;1;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, anlagenbuchhaltung, bilanz | Recruiting: karriere, wir suchen, finanzbuchhalter, werde teil | Digital: digitalisierung, digitale buchhaltung, datev, digitale prozesse;;;;https://www.steuerberater-sauer.info/team/;https://www.steuerberater-sauer.info/karriere/
562;A;Dokumentenmanagementsysteme | Thomas Vellante Steuerberater;kanzlei-vellante.de;https://www.kanzlei-vellante.de/blog/dokumentenmanagementsysteme-ordnung-statt-chaos.html;Bonn;nrw;8;17;2;2;2;2;1;2;1;2;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, fibu, buchführung, rechnungswesen | Recruiting: karriere, offene stellen, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, dms;;;;https://www.kanzlei-vellante.de/;https://www.kanzlei-vellante.de/karriere.html
802;A;Steuerberater Grimm & Schierholz in Mainz;sgs-steuer.de;https://www.sgs-steuer.de/;Mainz;rhein_main;8;13;1;2;2;2;1;2;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: jahresabschluss, bilanz | Recruiting: karriere, jobs, bewerbung, steuerfachangestellte | Digital: digitale kanzlei, datev, papierlos, digitale prozesse;;;;https://www.sgs-steuer.de/team/;https://www.sgs-steuer.de/jobs/
21;A;Steuerberater München - Steuerkanzlei Sascha Woellke;woellke.de;https://www.woellke.de/;München;muenchen_stuttgart;7;11;2;2;1;2;1;0;1;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, laufende buchhaltung, buchführung, rechnungswesen | Recruiting: karriere, wir suchen, verstärkung, bewerbung | Digital: datev, digital;;;;https://www.woellke.de/unsere-steuerkanzlei/;https://www.woellke.de/karriere/
105;A;DATEV Online - IStB Internationale Steuerberatung Schulz;istb.eu;https://istb.eu/digitaler-steuerberater/datev-online/;Stuttgart;muenchen_stuttgart;7;15;2;2;2;2;1;2;1;1;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: buchführung, belegmanagement, rechnungswesen, bilanz | Recruiting: karriere, offene stellen, wir suchen, bewerbung | Digital: digitalisierung, digitale kanzlei, datev unternehmen online, datev;;;;https://istb.eu/kanzlei/;https://istb.eu/karriere/
506;A;Startseite » Schraven & Partner Steuerberatungsgesellschaft mbB;schraven-partner.de;https://www.schraven-partner.de/;Essen;nrw;7;13;2;2;2;2;1;0;2;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen, jahresabschluss, einnahmenüberschussrechnung | Recruiting: karriere, offene stellen, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale kanzlei, datev unternehmen online, datev;;;;https://www.schraven-partner.de/de/%C3%BCber_uns/team/;https://www.schraven-partner.de/de/karriere/karriere/
